bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0752,7.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5752,Brett Baty,-135.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0732,7.3%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5732,Carlos Narvaez,-156.0
BATTER HITS,2026-04-13,NYY,LAA,,,,,,,0.0694,6.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5694,Yoan Moncada,-145.0
BATTER HITS,2026-04-13,BAL,ARI,,,,,,,0.0685,6.9%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5685,Adrian Del Castillo,124.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.066,6.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.566,J.P. Crawford,-128.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.0654,6.5%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5654,Randy Arozarena,109.0
BATTER HITS,2026-04-13,NYY,LAA,,,,,,,0.0652,6.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5652,Josh Lowe,-154.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0632,6.3%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5632,Freddie Freeman,-222.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.0627,6.3%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5627,Kyle Schwarber,-182.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0613,6.1%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5613,Ceddanne Rafaela,125.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0603,6.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5603,Spencer Horwitz,-164.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.0586,5.9%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5586,Joey Loperfido,100.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.0581,5.8%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5581,J.T. Realmuto,-192.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.058,5.8%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.558,Dominic Canzone,-130.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0572,5.7%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5572,Nick Yorke,182.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0565,5.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5565,Marcelo Mayer,-164.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.0547,5.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5547,Bryson Stott,-171.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0535,5.3%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5535,Ryan O'Hearn,163.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0533,5.3%,,NO PLAY,False,Cold streak,UNDER 0.5 hits,0.5,0.5533,Roman Anthony,165.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0524,5.2%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5524,Ryan Jeffers,125.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.0507,5.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5507,Isaac Paredes,-160.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.0493,4.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5493,Miguel Amaya,-115.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.0474,4.7%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5474,Cole Young,-120.0
BATTER HITS,2026-04-13,ATL,MIA,,,,,,,0.046,4.6%,,NO PLAY,False,Hot streak,OVER 0.5 hits,0.5,0.546,Austin Riley,-180.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0449,4.5%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5449,Byron Buxton,138.0
BATTER HITS,2026-04-13,SEA,HOU,,,,,,,0.0438,4.4%,,NO PLAY,False,Cold streak,UNDER 0.5 hits,0.5,0.5438,Christian Walker,130.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.043,4.3%,,NO PLAY,False,Low BA,UNDER 0.5 hits,0.5,0.543,Alex Bregman,163.0
BATTER HITS,2026-04-13,NYY,LAA,,,,,,,0.0425,4.2%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5425,Nolan Schanuel,-204.0
BATTER HITS,2026-04-13,NYY,LAA,,,,,,,0.0411,4.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5411,Austin Wells,-132.0
BATTER HITS,2026-04-13,BAL,ARI,,,,,,,0.0411,4.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5411,Nolan Arenado,-204.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0383,3.8%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5383,Luis Robert Jr.,148.0
BATTER HITS,2026-04-13,ATL,MIA,,,,,,,0.0381,3.8%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.5381,Dominic Smith,-139.0
BATTER HITS,2026-04-13,BAL,ARI,,,,,,,0.0351,3.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5351,Samuel Basallo,-190.0
BATTER HITS,2026-04-13,NYY,LAA,,,,,,,0.0325,3.2%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5325,Jazz Chisholm Jr.,-175.0
BATTER HITS,2026-04-13,STL,CLE,,,,,,,0.0323,3.2%,,NO PLAY,False,Standard play,UNDER 1.5 hits,1.5,0.5323,Steven Kwan,-238.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.0307,3.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5307,Seiya Suzuki,-200.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0289,2.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5289,Nick Gonzales,-220.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.028,2.8%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.528,Jorge Polanco,143.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.0277,2.8%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.5277,Austin Martin,-175.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0258,2.6%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5258,Shohei Ohtani,198.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0243,2.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5243,Keibert Ruiz,-141.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0232,2.3%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5232,Francisco Alvarez,-140.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.021,2.1%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.521,Bryan Reynolds,175.0
BATTER HITS,2026-04-13,MIN,BOS,,,,,,,0.02,2.0%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.52,Jarren Duran,178.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0161,1.6%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5161,Jacob Young,107.0
BATTER HITS,2026-04-13,PHI,CHC,,,,,,,0.0156,1.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5156,Ian Happ,-152.0
BATTER HITS,2026-04-13,ATL,MIA,,,,,,,0.0129,1.3%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5129,Javier Sanoja,-175.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0123,1.2%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5123,Bo Bichette,-235.0
BATTER HITS,2026-04-13,LAD,NYM,,,,,,,0.0099,1.0%,,NO PLAY,False,Cold streak,UNDER 0.5 hits,0.5,0.5099,Santiago Espinal,150.0
BATTER HITS,2026-04-13,PIT,WSH,,,,,,,0.0092,0.9%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5092,Brandon Lowe,150.0
BATTER HITS,2026-04-13,NYY,LAA,,,,,,,0.004,0.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.504,Logan O'Hoppe,-130.0
